Id;A;B;C;D
1;20 de julio;7 de agosto;11 de noviembre;24 de mayo
2;Colombia;China;Rusia;Chile
3;Torre Colpatria;Torre de Sganghai;Burj Khalifa;One World Trade Center
4;Rumania;Rusia;Polonia;Alemania
5;España;Italia;Venezuela;Vaticano
6;Fotones;Electrones;Neutrones;Ninguna
7;Positiva;Negativa;Neutra;Sin carga
8;Celsius;Kelvin;Fahrenheit;Rankine
9;Velocidad;Aceleracion;Peso;Materia
10;Onza;Tonelada;Gramo;Kilogramo
11;Colibri;Aguila;Azulejo;Cuervo
12;Tiburon ballena;Ballena azul;Calamar gigante;Pirarucu
13;Titi;Macaco;Mandril;Chimpance
14;Raton;Guepardo;Perro;Caballo
15;Leon;Gato montes;Tigre;Pantera
16;Dante Alighieri;Gabriel Garcia marques;Mario Benedeti;Homero
17;Truman Capote;Mark Twain;Stephen King;Edgar Allan Poe
18;El mago de Oz;El viejo y el mar;La divina comedia;Hamblet
19;Gonzalo Fernández de Oviedo;Francisco Pizarroe;Bartolomé de las Casas;Hernán Cortésr
20;Mario Vargas Llosa;Gabriel García Márquez;Antoine Lavoisier;Patricia Llosa
21;Johnny Depp;Tom Hanks;Brad Pitt;Tom Cruise
22;1999;2000;1998;2001
23;Avatar;Avengers endgame;Matrix2;Spider-man 3
24;Martin Scorsese;George Lucas;Steven Spielberg;J. J. Abram
25;Qué actor interpretó al mago Gandalf en la trilogía de El Señor de los anillos?;Elijah Wood;Ian Mckellen;Sean Astin;John Rhys-Davies
